birthday,age,startDate,parttimePercentage,hometown,gender,discipline,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
9/07/1970,46,1/05/2012,80.00,Driebergen-Rijsenburg,Man,Senior Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Parttimer,Amsterdam,Nederland
6/04/1984,32,7/05/2012,100.00,Zeewolde,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Amersfoort,Nederland
2/12/1986,30,24/09/2012,100.00,Maarssen,Vrouw,Projectmanager,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Amsterdam,Nederland
10/04/1982,34,19/11/2012,90.00,Amsterdam,Man,Senior projectmanager,Amersfoort,PM en SM Amersfoort eFocus,Parttimer,Eindhoven,Nederland
15/05/1985,31,1/12/2012,100.00,Utrecht,Vrouw,Content Producer,Amersfoort,Strategie en OM Amersfoort eFocus,Fulltimer,Utrecht,Nederland
7/11/1979,37,1/01/2013,90.00,Zwolle,Man,Senior Information Analyst,Amersfoort,Development Amersfoort eFocus,Parttimer,Beilen,Nederland
21/02/1970,47,1/03/2013,100.00,Leusden,Man,Software Architect,Amersfoort,Development Amersfoort eFocus,Parttimer,Leusden,Nederland
23/01/1971,46,1/04/2013,90.00,Veenendaal,Man,Digital Consultant,Amersfoort,Strategie en OM Amersfoort eFocus,Parttimer,Dodewaard,Nederland
29/05/1979,37,1/07/2013,100.00,Ermelo,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Amersfoort,Nederland
12/05/1989,27,10/06/2013,90.00,Utrecht,Man,Visual Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Bandung,Indonesië
6/11/1976,40,1/08/2013,100.00,Amersfoort,Man,Senior Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Heerlen,Nederland
29/04/1965,51,1/09/2013,80.00,Leusden,Man,DevOps Engineer,Amersfoort,Development Amersfoort eFocus,Parttimer,Leusden,Nederland
4/11/1988,28,12/11/2013,100.00,Utrecht,Vrouw,Digital Marketeer,Amersfoort,Strategie en OM Amersfoort eFocus,Fulltimer,Huizen,Nederland
19/02/1987,30,1/04/2014,80.00,Utrecht,Vrouw,Servicemanager,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Maastricht,Nederland
24/10/1980,36,1/07/2014,100.00,Amersfoort,Man,Software Architect,Amersfoort,Development Amersfoort eFocus,Fulltimer,Rotterdam,Nederland
23/09/1992,24,29/07/2014,90.00,Driebergen-Rijsenburg,Man,Developer,Amersfoort,Development Amersfoort eFocus,Parttimer,Utrecht,Nederland
7/05/1982,34,1/09/2014,80.00,Zwolle,Man,Information Analyst,Amersfoort,Development Amersfoort eFocus,Fulltimer,Zwolle,Nederland
17/09/1988,28,1/09/2014,100.00,Amersfoort,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Amersfoort,Nederland
20/01/1986,31,1/12/2014,100.00,Amersfoort,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Benevento,Italië
24/08/1989,27,5/01/2015,80.00,Hilversum,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Hoogeveen,Nederland
7/02/1986,31,1/04/2015,100.00,Zwolle,Man,Senior Visual Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Zwolle,Nederland
2/05/1980,36,1/07/2015,90.00,De Meern,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Joensuu,Finland
18/01/1991,26,29/06/2015,90.00,Amersfoort,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Nijmegen,Nederland
4/06/1986,30,3/07/2015,100.00,Zwolle,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Leeuwarden,Nederland
29/04/1987,29,1/09/2015,90.00,IJsselstein Ut,Man,Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Parttimer,Utrecht,Nederland
28/07/1981,35,1/09/2015,90.00,Zeist,Man,Senior UX Designer,Amersfoort,Creatie Amersfoort eFocus,Parttimer,Arnhem,Nederland
17/06/1976,40,1/09/2015,100.00,Amersfoort,Vrouw,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Rosales,Filippijnen
5/03/1990,26,1/03/2016,100.00,Barneveld,Vrouw,Projectmanager,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Amersfoort,Nederland
3/07/1978,38,1/04/2016,100.00,Woudenberg,Vrouw,QA Specialist,Amersfoort,Development Amersfoort eFocus,Fulltimer,Nijmegen,Nederland
26/08/1985,31,1/07/2016,100.00,Zwolle,Man,Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Harderwijk,Nederland
5/07/1996,20,1/09/2016,100.00,Amersfoort,Man,Stagiair developer,Amersfoort,Development Amersfoort eFocus,Stagiair,Amersfoort,Nederland
9/02/1973,44,16/06/2016,90.00,Houten,Man,Senior projectmanager,Amersfoort,PM en SM Amersfoort eFocus,Parttimer,Zwolle,Nederland
1/07/1997,19,5/09/2016,100.00,IJsselstein Ut,Man,Stagiair developer,Amersfoort,Development Amersfoort eFocus,Stagiair,Herat,Afghanistan
4/03/1991,25,1/09/2016,100.00,Amersfoort,Man,UX Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Amersfoort,Nederland
5/11/1987,29,15/09/2016,100.00,Amersfoort,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Baarn,Nederland
24/11/1989,27,12/09/2016,90.00,Amersfoort,Vrouw,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Rhenen,Nederland
12/08/1964,52,1/09/2016,100.00,Amsterdam,Man,Program Director,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Geldrop,Nederland
13/04/1995,21,15/09/2016,100.00,Utrecht,Vrouw,UX Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Delft,Nederland
10/11/1987,29,1/01/2017,100.00,Amersfoort,Man,Servicemanager,Amersfoort,PM en SM Amersfoort eFocus,Fulltimer,Utrecht,Nederland
26/08/1995,21,6/02/2017,100.00,Nunspeet,Man,Stagiair,Amersfoort,Creatie Amersfoort eFocus,Stagiair,Amsterdam,Nederland
16/01/1970,47,1/07/2008,80.00,Amsterdam,Man,Senior Visual Designer,Amsterdam,Creatie Amsterdam eFocus,Parttimer,Breda,Nederland
9/10/1979,37,1/06/2009,100.00,Maarssen,Man,Senior Servicemanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Valkenswaard,Nederland
27/05/1978,38,1/11/2009,100.00,'s-Gravenhage,Man,Senior projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Utrecht,Nederland
28/02/1976,40,15/12/2009,90.00,Zaandam,Man,Software Architect,Amsterdam,Development Amsterdam eFocus,Fulltimer,Zaandam,Nederland
28/10/1980,36,1/05/2010,100.00,Amsterdam,Man,Senior UX Designer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
18/04/1977,39,4/04/2011,100.00,Amsterdam,Man,Senior Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Ens,Nederland
18/07/1983,33,4/07/2011,100.00,Naarden,Man,Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Naarden,Nederland
17/11/1985,31,1/10/2011,100.00,Amsterdam,Man,Information Analyst,Amsterdam,Development Amsterdam eFocus,Parttimer,Deventer,Nederland
22/06/1984,32,1/01/2013,50.00,Amsterdam,Man,Digital Consultant,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Hardenberg,Nederland
15/09/1983,33,1/02/2013,80.00,Amsterdam,Man,Information Analyst,Amsterdam,Development Amsterdam eFocus,Parttimer,Woerden,Nederland
3/01/1975,42,1/04/2013,100.00,Blokker,Man,Senior Visual Designer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
30/01/1969,48,1/05/2013,90.00,Amsterdam,Man,Senior DevOps Engineer,Amsterdam,Development Amsterdam eFocus,Parttimer,Alkmaar,Nederland
26/01/1990,27,17/08/2015,90.00,Utrecht,Man,Visual Designer,Amsterdam,Creatie Amsterdam eFocus,Parttimer,Utrecht,Nederland
19/01/1990,27,10/12/2013,100.00,Zandvoort,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Haarlem,Nederland
4/10/1988,28,9/12/2013,100.00,Apeldoorn,Vrouw,Digital Marketeer,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Apeldoorn,Nederland
22/11/1983,33,1/01/2014,90.00,Alkmaar,Man,Digital Consultant,Amsterdam,Strategie en OM Amsterdam eFocus,Parttimer,Meppel,Nederland
1/12/1976,40,7/04/2014,100.00,Amsterdam,Man,Information Analyst,Amsterdam,Development Amsterdam eFocus,Fulltimer,Ede Gld,Nederland
4/12/1988,28,1/06/2014,100.00,Amsterdam,Man,Projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Groningen,Nederland
13/04/1992,24,11/11/2014,100.00,Zuidoostbeemster,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Middenbeemster,Nederland
4/07/1990,26,1/07/2015,100.00,Amstelveen,Man,Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
8/09/1987,29,1/04/2015,90.00,Amsterdam,Man,Projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Parttimer,Heemskerk,Nederland
28/11/1991,25,1/04/2015,100.00,Velsen-Noord,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,IJmuiden,Nederland
17/06/1985,31,1/04/2015,100.00,Amsterdam,Vrouw,Service Coördinator,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Heerlen,Nederland
9/09/1992,24,18/05/2015,100.00,Hilversum,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Utrecht,Nederland
22/08/1968,48,1/05/2015,90.00,Alkmaar,Man,Servicemanager,Amsterdam,PM en SM Amsterdam eFocus,Parttimer,Delft,Nederland
27/02/1975,41,1/08/2015,100.00,Amsterdam,Man,Senior Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Fulltimer,'s-Gravenhage,Nederland
25/07/1982,34,1/09/2015,100.00,Krommenie,Man,Senior developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Geffen,Nederland
7/05/1993,23,1/03/2016,80.00,Amstelveen,Vrouw,UX Designer,Amsterdam,Creatie Amsterdam eFocus,Parttimer,Harlingen,Nederland
28/12/1985,31,14/09/2015,100.00,Utrecht,Vrouw,Developer,Amsterdam,Development Amsterdam eFocus,Parttimer,Termanggung,Indonesië
27/06/1972,44,1/01/2016,80.00,Amsterdam,Man,Developer,Amsterdam,Development Amsterdam eFocus,Parttimer,Amsterdam,Nederland
24/04/1981,35,1/03/2016,100.00,Amsterdam,Man,Digital Marketeer,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Hoorn NH,Nederland
19/01/1990,27,1/07/2016,100.00,Rotterdam,Man,Digital Marketeer,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Rhoon,Nederland
3/06/1985,31,11/01/2016,90.00,Haarlem,Man,QA Specialist,Amsterdam,Development Amsterdam eFocus,Fulltimer,Haarlem,Nederland
9/05/1991,25,1/07/2016,100.00,Uithoorn,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
9/03/1990,26,25/04/2016,100.00,Utrecht,Man,Stagiair designer,Amsterdam,Creatie Amsterdam eFocus,Stagiair,Leerdam,Nederland
29/06/1992,24,17/10/2016,100.00,Odijk,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Odijk,Nederland
10/08/1975,41,1/12/2016,100.00,Krommenie,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
16/10/1985,31,1/11/2016,90.00,Utrecht,Man,Digital Consultant,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Westellingwerf,Nederland
30/01/1987,30,1/01/2017,100.00,Leiden,Man,DevOps Engineer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Leiderdorp,Nederland
18/11/1991,25,1/12/2016,80.00,Hensbroek,Man,Front-end Developer,Amsterdam,Creatie Amsterdam eFocus,Parttimer,Alkmaar,Nederland
24/04/1989,27,1/12/2016,100.00,Amsterdam,Man,Projectmanager,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Waipukurau,Nieuw-Zeeland
31/08/1985,31,13/02/2017,90.00,Amsterdam,Man,QA Specialist,Amsterdam,Development Amsterdam eFocus,Parttimer,Amsterdam,Nederland
31/01/1990,27,13/03/2017,100.00,Amsterdam,Man,Developer,Amsterdam,Development Amsterdam eFocus,Fulltimer,Onderdijk,Nederland
9/03/1990,26,21/02/2017,0.00,Utrecht,Man,Visual Designer,Amsterdam,Creatie Amsterdam eFocus,Oproepkracht,Leerdam,Nederland
9/10/1978,38,1/07/2007,80.00,Tilburg,Man,Front-end Developer,Eindhoven,Creatie Eindhoven eFocus,Parttimer,Amsterdam,Nederland
26/10/1983,33,1/12/2007,100.00,'s-Hertogenbosch,Man,Senior Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Breda,Nederland
1/02/1979,38,1/05/2008,90.00,Heerlen,Man,Senior Front-end Developer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Leerdam,Nederland
3/07/1978,38,9/08/2010,90.00,Utrecht,Vrouw,UX Designer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Eindhoven,Nederland
6/05/1978,38,19/05/2014,95.00,Eindhoven,Man,Senior Visual Designer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Veldhoven,Nederland
6/11/1990,26,1/05/2014,95.00,Eindhoven,Vrouw,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Veldhoven,Nederland
19/08/1978,38,1/10/2014,90.00,Oisterwijk,Man,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Parttimer,Sliedrecht,Nederland
20/11/1978,38,1/11/2014,90.00,Santa Eularia des Rui,Man,Senior developer,Eindhoven,Development Eindhoven eFocus,Parttimer,Laren NH,Nederland
5/11/1985,31,1/11/2014,100.00,Tilburg,Man,Information Analyst,Eindhoven,Development Eindhoven eFocus,Fulltimer,Banja Luka,Bosnië Herzegowina
8/12/1975,41,1/02/2015,80.00,Eindhoven,Man,Senior QA Specialist,Eindhoven,Development Eindhoven eFocus,Fulltimer,Eindhoven,Nederland
19/11/1975,41,1/03/2015,80.00,Zeeland,Man,Developer,Eindhoven,Development Eindhoven eFocus,Parttimer,Nijmegen,Nederland
29/02/1980,36,1/03/2015,100.00,Asten,Man,Senior UX Designer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Asten,Nederland
22/09/1991,25,1/08/2015,100.00,Tilburg,Man,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Zwijndrecht,Nederland
25/01/1978,39,1/04/2015,100.00,Weert,Man,Developer,Eindhoven,Development Eindhoven eFocus,Parttimer,Gent,België
14/09/1974,42,1/08/2015,100.00,Veghel,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Schijndel,Nederland
13/11/1987,29,14/09/2015,100.00,'s-Hertogenbosch,Vrouw,Projectmanager,Eindhoven,PM en SM Eindhoven eFocus,Fulltimer,Boxtel,Nederland
4/12/1988,28,23/10/2015,100.00,Tilburg,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Tilburg,Nederland
7/05/1983,33,1/01/2016,80.00,Eindhoven,Vrouw,Servicemanager,Eindhoven,PM en SM Eindhoven eFocus,Parttimer,Nijmegen,Nederland
10/11/1991,25,1/01/2016,100.00,Weert,Vrouw,Visual Designer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Drunen,Nederland
26/05/1994,22,1/08/2016,95.00,Tilburg,Vrouw,UX Designer,Eindhoven,Creatie Eindhoven eFocus,Parttimer,Tilburg,Nederland
17/07/1990,26,1/05/2016,100.00,Stramproy,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Roermond,Nederland
23/06/1992,24,7/03/2016,100.00,Mierlo,Vrouw,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Parttimer,Mierlo,Nederland
8/08/1986,30,1/05/2016,80.00,Eindhoven,Vrouw,Developer,Eindhoven,Development Eindhoven eFocus,Parttimer,Tenali,India
17/06/1989,27,1/06/2016,100.00,Sittard,Man,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Brühl,Germany
24/02/1980,36,1/09/2016,90.00,Best,Man,Front-end Developer,Eindhoven,Creatie Eindhoven eFocus,Parttimer,Eindhoven,Nederland
29/01/1991,26,1/10/2016,100.00,Eindhoven,Vrouw,Front-end Developer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Breda,Nederland
7/10/1985,31,1/11/2016,100.00,Stramproy,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Eindhoven,Nederland
7/11/1970,46,1/10/2016,80.00,Eindhoven,Vrouw,Projectmanager,Eindhoven,PM en SM Eindhoven eFocus,Parttimer,Oss,Nederland
2/03/1995,21,9/01/2017,100.00,'s-Hertogenbosch,Man,Stagiair,Eindhoven,Strategie en OM Eindhoven eFocus,Stagiair,'s-Hertogenbosch,Nederland
24/09/1988,28,1/03/2017,100.00,Eindhoven,Vrouw,Projectmanager,Eindhoven,PM en SM Eindhoven eFocus,Fulltimer,,Nederland
11/10/1987,29,1/02/2017,100.00,Eindhoven,Man,Front-end Developer,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Eindhoven,Nederland
17/07/1990,26,1/03/2017,100.00,Bilthoven,Man,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Utrecht,Nederland
18/07/1990,26,1/04/2017,80.00,Weert,Man,Digital Marketeer,Eindhoven,Strategie en OM Eindhoven eFocus,Parttimer,Venlo,Nederland
19/12/1979,37,1/03/2017,100.00,Berkel-Enschot,Man,Digital Consultant,Eindhoven,Strategie en OM Eindhoven eFocus,Fulltimer,Tilburg,Nederland
26/01/1992,25,13/03/2017,100.00,Hamont-Achel,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Neerpelt,België
3/07/1982,34,13/03/2017,100.00,Helmond,Man,Developer,Eindhoven,Development Eindhoven eFocus,Fulltimer,Lagos,Nigeria
1/04/1977,39,1/09/2000,90.00,Utrecht,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Parttimer,Zoetermeer,Nederland
18/07/1969,47,1/11/2003,80.00,Utrecht,Man,Senior Visual Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,IJsselstein Ut,Nederland
22/12/1973,43,1/03/2007,100.00,Utrecht,Man,Senior Information Analyst,Utrecht,Development Utrecht eFocus,Fulltimer,Utrecht,Nederland
26/10/1976,40,16/04/2007,100.00,Almere,Man,Junior Technisch Applicatie Beheerder,Utrecht,Development Utrecht eFocus,Fulltimer,Aduard,Nederland
29/04/1977,39,1/08/2007,90.00,Utrecht,Man,Senior Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Arnhem,Nederland
22/11/1978,38,20/08/2007,85.00,Bavel,Man,Senior UX Designer,Utrecht,Creatie Utrecht eFocus,Parttimer,Bavel,Nederland
14/05/1982,34,1/10/2007,90.00,Utrecht,Man,Visual Designer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Leiderdorp,Nederland
2/01/1978,39,1/10/2007,80.00,Utrecht,Man,Senior Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Roermond,Nederland
22/10/1980,36,1/08/2008,80.00,Utrecht,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Hoogeveen,Nederland
20/12/1977,39,1/11/2008,100.00,Veenendaal,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Oldenzaal,Nederland
8/12/1982,34,1/11/2008,80.00,IJsselstein Ut,Vrouw,Senior projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Bergambacht,Nederland
10/01/1985,32,20/04/2009,80.00,Vleuten,Man,Visual Designer,Utrecht,Creatie Utrecht eFocus,Parttimer,Utrecht,Nederland
13/01/1981,36,15/12/2008,100.00,Bilthoven,Man,Senior Digital Marketeer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Oosterhout NB,Nederland
6/07/1983,33,1/06/2009,80.00,Almere,Man,Developer,Utrecht,Development Utrecht eFocus,Parttimer,Lelystad,Nederland
27/03/1984,32,1/09/2010,100.00,Baarn,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Baarn,Nederland
19/03/1978,38,1/12/2010,90.00,De Bilt,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Doetinchem,Nederland
10/03/1965,51,1/03/2011,90.00,'s-Hertogenbosch,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Sint Michielsgestel,Nederland
2/02/1972,45,1/04/2011,90.00,Utrecht,Man,Senior projectmanager,Utrecht,PM en SM Utrecht eFocus,Parttimer,Utrecht,Nederland
17/05/1980,36,1/05/2011,40.00,De Bilt,Vrouw,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Parttimer,Dordrecht,Nederland
15/05/1972,44,1/09/2011,80.00,Bunnik,Man,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Alkmaar,Nederland
10/03/1987,29,19/07/2012,90.00,Utrecht,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Lelystad,Nederland
6/06/1979,37,1/10/2011,90.00,Odijk,Vrouw,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Borisov,Wit Rusland
19/07/1982,34,1/01/2012,80.00,Utrecht,Man,Senior Information Analyst,Utrecht,Development Utrecht eFocus,Parttimer,Dirksland,Nederland
21/03/1986,30,16/04/2012,90.00,Utrecht,Vrouw,Digital Consultant,Utrecht,Strategie en OM Utrecht eFocus,Parttimer,Barneveld,Nederland
21/01/1983,34,1/07/2012,100.00,Almere,Man,DevOps Engineer,Utrecht,Development Utrecht eFocus,Fulltimer,Amsterdam,Nederland
31/12/1988,28,15/10/2012,80.00,Utrecht,Man,Front-end Developer,Utrecht,Creatie Utrecht eFocus,Parttimer,Utrecht,Nederland
6/02/1975,42,1/12/2012,90.00,Utrecht,Man,Senior developer,Utrecht,Development Utrecht eFocus,Parttimer,Epe,Nederland
10/02/1978,39,1/04/2013,100.00,Everdingen,Man,Senior developer,Utrecht,Development Utrecht eFocus,Fulltimer,Utrecht,Nederland
7/07/1976,40,1/04/2013,80.00,Utrecht,Man,Senior Front-end Developer,Utrecht,Creatie Utrecht eFocus,Fulltimer,Zoetermeer,Nederland
1/04/1971,45,11/03/2013,80.00,Rotterdam,Man,Senior Art Director,Utrecht,Creatie Utrecht eFocus,Parttimer,Rotterdam,Nederland
16/05/1987,29,1/06/2013,100.00,Hilversum,Vrouw,Projectmanager,Utrecht,PM en SM Utrecht eFocus,Fulltimer,Loosdrecht,Nederland
22/06/1983,33,1/09/2013,100.00,Amsterdam,Vrouw,Senior Content Producer,Utrecht,Strategie en OM Utrecht eFocus,Fulltimer,Wageningen,Nederland
